wsi,msi,dataset,patch,level,x,y,size,tumor_ratio,blank_ratio,file
training_data_01,1,train,training_data_01_l2_90112_65536,2,90112,65536,256,1.0,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_65536.tif
training_data_01,1,train,training_data_01_l2_90112_69632,2,90112,69632,256,1.0,0.025390625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_69632.tif
training_data_01,1,train,training_data_01_l2_90112_73728,2,90112,73728,256,1.0,0.1826171875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_73728.tif
training_data_01,1,train,training_data_01_l2_90112_77824,2,90112,77824,256,0.7260589599609375,0.4169921875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_77824.tif
training_data_01,1,train,training_data_01_l2_94208_4096,2,94208,4096,256,0.818817138671875,0.3427734375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_4096.tif
training_data_01,1,train,training_data_01_l2_94208_20480,2,94208,20480,256,0.953369140625,0.1923828125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_20480.tif
training_data_01,1,train,training_data_01_l2_94208_28672,2,94208,28672,256,0.9927520751953124,0.1845703125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_28672.tif
training_data_01,1,train,training_data_01_l2_94208_32768,2,94208,32768,256,1.0,0.0244140625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_32768.tif
training_data_01,1,train,training_data_01_l2_94208_36864,2,94208,36864,256,1.0,0.111328125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_36864.tif
training_data_01,1,train,training_data_01_l2_94208_40960,2,94208,40960,256,0.9597320556640624,0.0751953125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_40960.tif
training_data_01,1,train,training_data_01_l2_94208_65536,2,94208,65536,256,0.9540863037109376,0.1044921875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_65536.tif
training_data_01,1,train,training_data_01_l2_94208_69632,2,94208,69632,256,1.0,0.0146484375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_69632.tif
training_data_01,1,train,training_data_01_l2_94208_73728,2,94208,73728,256,1.0,0.015625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_94208_73728.tif
training_data_01,1,train,training_data_01_l2_98304_8192,2,98304,8192,256,0.795440673828125,0.23828125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_8192.tif
training_data_01,1,train,training_data_01_l2_98304_16384,2,98304,16384,256,1.0,0.01171875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_16384.tif
training_data_01,1,train,training_data_01_l2_98304_20480,2,98304,20480,256,1.0,0.046875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_20480.tif
training_data_01,1,train,training_data_01_l2_98304_24576,2,98304,24576,256,0.9489288330078124,0.4453125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_24576.tif
training_data_01,1,train,training_data_01_l2_98304_28672,2,98304,28672,256,0.9997711181640624,0.2421875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_28672.tif
training_data_01,1,train,training_data_01_l2_98304_32768,2,98304,32768,256,1.0,0.0791015625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_32768.tif
training_data_01,1,train,training_data_01_l2_98304_36864,2,98304,36864,256,0.99169921875,0.0224609375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_36864.tif
training_data_01,1,train,training_data_01_l2_98304_69632,2,98304,69632,256,1.0,0.01953125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_69632.tif
training_data_01,1,train,training_data_01_l2_98304_73728,2,98304,73728,256,1.0,0.017578125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_98304_73728.tif
training_data_01,1,train,training_data_01_l2_102400_12288,2,102400,12288,256,1.0,0.1064453125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_12288.tif
training_data_01,1,train,training_data_01_l2_102400_16384,2,102400,16384,256,1.0,0.0634765625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_16384.tif
training_data_01,1,train,training_data_01_l2_102400_20480,2,102400,20480,256,1.0,0.0185546875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_20480.tif
training_data_01,1,train,training_data_01_l2_102400_24576,2,102400,24576,256,1.0,0.0654296875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_24576.tif
training_data_01,1,train,training_data_01_l2_102400_28672,2,102400,28672,256,1.0,0.1455078125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_28672.tif
training_data_01,1,train,training_data_01_l2_102400_32768,2,102400,32768,256,0.96002197265625,0.1142578125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_32768.tif
training_data_01,1,train,training_data_01_l2_102400_65536,2,102400,65536,256,0.911834716796875,0.2333984375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_65536.tif
training_data_01,1,train,training_data_01_l2_102400_69632,2,102400,69632,256,1.0,0.06640625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_69632.tif
training_data_01,1,train,training_data_01_l2_102400_73728,2,102400,73728,256,1.0,0.0517578125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_73728.tif
training_data_01,1,train,training_data_01_l2_102400_77824,2,102400,77824,256,0.9949493408203124,0.107421875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_102400_77824.tif
training_data_01,1,train,training_data_01_l2_106496_4096,2,106496,4096,256,0.96044921875,0.1484375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_4096.tif
training_data_01,1,train,training_data_01_l2_106496_8192,2,106496,8192,256,1.0,0.0390625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_8192.tif
training_data_01,1,train,training_data_01_l2_106496_12288,2,106496,12288,256,1.0,0.03125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_12288.tif
training_data_01,1,train,training_data_01_l2_106496_16384,2,106496,16384,256,1.0,0.0048828125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_16384.tif
training_data_01,1,train,training_data_01_l2_106496_20480,2,106496,20480,256,1.0,0.0263671875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_20480.tif
training_data_01,1,train,training_data_01_l2_106496_24576,2,106496,24576,256,0.9442291259765624,0.09765625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_24576.tif
training_data_01,1,train,training_data_01_l2_106496_65536,2,106496,65536,256,1.0,0.0185546875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_65536.tif
training_data_01,1,train,training_data_01_l2_106496_69632,2,106496,69632,256,1.0,0.0498046875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_69632.tif
training_data_01,1,train,training_data_01_l2_106496_73728,2,106496,73728,256,1.0,0.1103515625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_73728.tif
training_data_01,1,train,training_data_01_l2_106496_77824,2,106496,77824,256,1.0,0.0537109375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_106496_77824.tif
training_data_01,1,train,training_data_01_l2_110592_4096,2,110592,4096,256,1.0,0.0419921875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_110592_4096.tif
training_data_01,1,train,training_data_01_l2_110592_8192,2,110592,8192,256,0.9591217041015624,0.0546875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_110592_8192.tif
training_data_01,1,train,training_data_01_l2_110592_65536,2,110592,65536,256,0.7509613037109375,0.37109375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_110592_65536.tif
training_data_01,1,train,training_data_01_l2_110592_69632,2,110592,69632,256,1.0,0.009765625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_110592_69632.tif
training_data_01,1,train,training_data_01_l2_110592_73728,2,110592,73728,256,1.0,0.0107421875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_110592_73728.tif
training_data_01,1,train,training_data_01_l2_110592_77824,2,110592,77824,256,0.972900390625,0.0859375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_110592_77824.tif
training_data_01,1,train,training_data_01_l2_114688_69632,2,114688,69632,256,0.7718505859375,0.2939453125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_114688_69632.tif
training_data_01,1,train,training_data_01_l2_114688_73728,2,114688,73728,256,1.0,0.00390625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_114688_73728.tif
training_data_02,0,train,training_data_02_l2_53248_69632,2,53248,69632,256,0.971038818359375,0.0146484375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_53248_69632.tif
training_data_02,0,train,training_data_02_l2_53248_73728,2,53248,73728,256,1.0,0.0166015625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_53248_73728.tif
training_data_02,0,train,training_data_02_l2_53248_77824,2,53248,77824,256,1.0,0.021484375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_53248_77824.tif
training_data_02,0,train,training_data_02_l2_53248_81920,2,53248,81920,256,1.0,0.025390625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_53248_81920.tif
training_data_02,0,train,training_data_02_l2_53248_86016,2,53248,86016,256,0.7200469970703125,0.1884765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_53248_86016.tif
training_data_02,0,train,training_data_02_l2_57344_65536,2,57344,65536,256,0.7257232666015625,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_57344_65536.tif
training_data_02,0,train,training_data_02_l2_57344_69632,2,57344,69632,256,1.0,0.005859375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_57344_69632.tif
training_data_02,0,train,training_data_02_l2_57344_73728,2,57344,73728,256,1.0,0.08203125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_57344_73728.tif
training_data_02,0,train,training_data_02_l2_57344_77824,2,57344,77824,256,1.0,0.001953125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_57344_77824.tif
training_data_02,0,train,training_data_02_l2_57344_81920,2,57344,81920,256,1.0,0.0244140625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_57344_81920.tif
training_data_02,0,train,training_data_02_l2_57344_86016,2,57344,86016,256,1.0,0.0419921875,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_57344_86016.tif
training_data_02,0,train,training_data_02_l2_61440_69632,2,61440,69632,256,0.9397125244140624,0.123046875,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_61440_69632.tif
training_data_02,0,train,training_data_02_l2_61440_73728,2,61440,73728,256,1.0,0.021484375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_61440_73728.tif
training_data_02,0,train,training_data_02_l2_61440_77824,2,61440,77824,256,1.0,0.0029296875,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_61440_77824.tif
training_data_02,0,train,training_data_02_l2_61440_81920,2,61440,81920,256,1.0,0.001953125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_61440_81920.tif
training_data_02,0,train,training_data_02_l2_61440_86016,2,61440,86016,256,0.9999847412109376,0.0703125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_61440_86016.tif
training_data_02,0,train,training_data_02_l2_65536_77824,2,65536,77824,256,0.8562164306640625,0.0380859375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_65536_77824.tif
training_data_02,0,train,training_data_02_l2_81920_49152,2,81920,49152,256,0.7886962890625,0.0068359375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_81920_49152.tif
training_data_02,0,train,training_data_02_l2_81920_53248,2,81920,53248,256,0.7958984375,0.02734375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_81920_53248.tif
training_data_02,0,train,training_data_02_l2_81920_81920,2,81920,81920,256,0.7071990966796875,0.0322265625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_81920_81920.tif
training_data_02,0,train,training_data_02_l2_81920_86016,2,81920,86016,256,0.8162689208984375,0.22265625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_81920_86016.tif
training_data_02,0,train,training_data_02_l2_86016_40960,2,86016,40960,256,0.958740234375,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_86016_40960.tif
training_data_02,0,train,training_data_02_l2_86016_45056,2,86016,45056,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_86016_45056.tif
training_data_02,0,train,training_data_02_l2_86016_49152,2,86016,49152,256,1.0,0.00390625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_86016_49152.tif
training_data_02,0,train,training_data_02_l2_86016_53248,2,86016,53248,256,1.0,0.0048828125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_86016_53248.tif
training_data_02,0,train,training_data_02_l2_86016_57344,2,86016,57344,256,1.0,0.001953125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_86016_57344.tif
training_data_02,0,train,training_data_02_l2_86016_61440,2,86016,61440,256,0.7829132080078125,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_86016_61440.tif
training_data_02,0,train,training_data_02_l2_90112_36864,2,90112,36864,256,0.993255615234375,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_36864.tif
training_data_02,0,train,training_data_02_l2_90112_40960,2,90112,40960,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_40960.tif
training_data_02,0,train,training_data_02_l2_90112_45056,2,90112,45056,256,1.0,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_45056.tif
training_data_02,0,train,training_data_02_l2_90112_49152,2,90112,49152,256,1.0,0.0126953125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_49152.tif
training_data_02,0,train,training_data_02_l2_90112_53248,2,90112,53248,256,1.0,0.005859375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_53248.tif
training_data_02,0,train,training_data_02_l2_90112_57344,2,90112,57344,256,1.0,0.001953125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_57344.tif
training_data_02,0,train,training_data_02_l2_90112_61440,2,90112,61440,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_61440.tif
training_data_02,0,train,training_data_02_l2_90112_65536,2,90112,65536,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_65536.tif
training_data_02,0,train,training_data_02_l2_90112_69632,2,90112,69632,256,0.9999847412109376,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_69632.tif
training_data_02,0,train,training_data_02_l2_90112_73728,2,90112,73728,256,0.843109130859375,0.017578125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_73728.tif
training_data_02,0,train,training_data_02_l2_90112_81920,2,90112,81920,256,0.826324462890625,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_81920.tif
training_data_02,0,train,training_data_02_l2_90112_86016,2,90112,86016,256,0.9998016357421876,0.0107421875,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_90112_86016.tif
training_data_02,0,train,training_data_02_l2_94208_24576,2,94208,24576,256,0.8871002197265625,0.0029296875,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_24576.tif
training_data_02,0,train,training_data_02_l2_94208_28672,2,94208,28672,256,1.0,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_28672.tif
training_data_02,0,train,training_data_02_l2_94208_32768,2,94208,32768,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_32768.tif
training_data_02,0,train,training_data_02_l2_94208_36864,2,94208,36864,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_36864.tif
training_data_02,0,train,training_data_02_l2_94208_40960,2,94208,40960,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_40960.tif
training_data_02,0,train,training_data_02_l2_94208_45056,2,94208,45056,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_45056.tif
training_data_02,0,train,training_data_02_l2_94208_49152,2,94208,49152,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_49152.tif
training_data_02,0,train,training_data_02_l2_94208_53248,2,94208,53248,256,1.0,0.001953125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_53248.tif
training_data_02,0,train,training_data_02_l2_94208_57344,2,94208,57344,256,1.0,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_57344.tif
training_data_02,0,train,training_data_02_l2_94208_61440,2,94208,61440,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_61440.tif
training_data_02,0,train,training_data_02_l2_94208_65536,2,94208,65536,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_65536.tif
training_data_02,0,train,training_data_02_l2_94208_69632,2,94208,69632,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_69632.tif
training_data_02,0,train,training_data_02_l2_94208_73728,2,94208,73728,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_73728.tif
training_data_02,0,train,training_data_02_l2_94208_77824,2,94208,77824,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_77824.tif
training_data_02,0,train,training_data_02_l2_94208_81920,2,94208,81920,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_81920.tif
training_data_02,0,train,training_data_02_l2_94208_86016,2,94208,86016,256,0.99951171875,0.0146484375,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_94208_86016.tif
training_data_02,0,train,training_data_02_l2_98304_16384,2,98304,16384,256,0.7811737060546875,0.0048828125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_16384.tif
training_data_02,0,train,training_data_02_l2_98304_20480,2,98304,20480,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_20480.tif
training_data_02,0,train,training_data_02_l2_98304_24576,2,98304,24576,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_24576.tif
training_data_02,0,train,training_data_02_l2_98304_28672,2,98304,28672,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_28672.tif
training_data_02,0,train,training_data_02_l2_98304_32768,2,98304,32768,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_32768.tif
training_data_02,0,train,training_data_02_l2_98304_36864,2,98304,36864,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_36864.tif
training_data_02,0,train,training_data_02_l2_98304_40960,2,98304,40960,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_40960.tif
training_data_02,0,train,training_data_02_l2_98304_45056,2,98304,45056,256,1.0,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_45056.tif
training_data_02,0,train,training_data_02_l2_98304_49152,2,98304,49152,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_49152.tif
training_data_02,0,train,training_data_02_l2_98304_53248,2,98304,53248,256,1.0,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_53248.tif
training_data_02,0,train,training_data_02_l2_98304_57344,2,98304,57344,256,1.0,0.001953125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_57344.tif
training_data_02,0,train,training_data_02_l2_98304_61440,2,98304,61440,256,1.0,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_61440.tif
training_data_02,0,train,training_data_02_l2_98304_65536,2,98304,65536,256,1.0,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_65536.tif
training_data_02,0,train,training_data_02_l2_98304_69632,2,98304,69632,256,1.0,0.001953125,PAIP2020/training/patch_level2_256_macenko/training_data_02/training_data_02_l2_98304_69632.tif
